Article ID,URL,Link,Reach (Buzzsumo shares),Source Site,Topic,Subtopic,Annotation:Content,Annotation:Context,Domain Expert,Expert Notes,Expert score (1-5),In WebConf
2,Johns Hopkins Researcher Releases Shocking Report On Flu Vaccines,http://ewao.com/2017/08/16/johns-hopkins-researcher-releases-shocking-report-on-flu-vaccines/,"1,900,000",ewao.com,health,vaccines,"PE-2018-03, PE-2018-02, PE-2018-01","Check-2018-05, Check-2018-03, Check-2018-01",public heath researcher,,2,Y
3,"Floods in India, Bangladesh and Nepal kill 1,200 and leave millions homeless",https://www.independent.co.uk/news/world/asia/india-floods-bangladesh-nepal-deaths-millions-homeless-latest-news-updates-a7919006.html,"859,000",independent.co.uk,climate change,flooding,"PE-2018-03, PE-2018-02, PE-2018-01","Check-2018-05, Check-2018-03, Check-2018-01",public heath researcher,lacks citation in first graph. also uses a lot of secondary sources in the roundup  I would probably make this a 3.5,3,Y
4,Coconut oil isn't healthy. It's never been healthy.,https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"858,100",usatoday.com,health,nutrition,"PE-2018-03, PE-2018-02, PE-2018-01","Check-2018-05, Check-2018-03, Check-2018-01",public heath researcher,"helpful citations and explanations, highlights moderate perspective on the issue and evidence from different scientists",3,Y
6,How Your Finger Shape Determines Your Personality (And Your Health Risks),http://mysticalraven.com/health/5110/how-your-finger-shape-determines-your-personality-and-your-health-risks,"799,400",mysticalraven.com,health,,"PE-2018-03, PE-2018-02, PE-2018-01","Check-2018-05, Check-2018-03, Check-2018-01",public heath researcher,,1,Y
7,FDA Announced That VaccinesAre Causing Autism!,http://inshapetoday.com/now-official-fda-announced-vaccines-causing-autism/,"700,000",inshapetoday.com,health,vaccines,"PE-2018-03, PE-2018-02, PE-2018-01","Check-2018-05, Check-2018-03, Check-2018-01",public heath researcher,,1,Y
8,Monsanto Is Scrambling To Bury This Breaking Story - Don't Let This Go Unshared!,https://foodbabe.com/2016/11/15/monsanto/,"683,200",foodbabe.com,health,,"PE-2018-03, PE-2018-02, PE-2018-01","Check-2018-05, Check-2018-03, Check-2018-01",climate feedback,"some useful citations, but heavily opinionated",2,Y
9,"CONFIRMED: E-CIGARETTES CAUSE A HORRIBLE INCURABLE DISEASE CALLED ‚""POPCORN LUNG‚"". WORSE THAN LUNG CANCER!",http://nowcheckthis.com/2017/03/23/confirmed-e-cigarettes-cause-a-horrible-incurable-disease-called-popcorn-lung-worse-than-lung-cancer/,"623,900",nowcheckthis.com,health,disease,"PE-2018-03, PE-2018-02, PE-2018-01","Check-2018-05, Check-2018-03, Check-2018-01",public heath researcher,"quotes seem realiable, but no citations/references",1,Y
10,"There are diseases hidden in ice, and they are waking up",http://www.bbc.com/earth/story/20170504-there-are-diseases-hidden-in-ice-and-they-are-waking-up?ocid=fbert,"623,300",bbc.com,climate change,polar ice,"PE-2018-03, PE-2018-02, PE-2018-01","Check-2018-05, Check-2018-03, Check-2018-01",climate feedback,https://climatefeedback.org/most-popular-climate-change-stories-2017-reviewed-scientists/,3,Y
12,Mom's warning is spreading like wildfire - scented candles are harmful to your baby‚Äôshealth,https://en.newsner.com/family/mom-s-warning-is-spreading-like-wildfire-scented-candles-are-harmful-your-baby-s-health/,"563,400",newsner.com,health,kids/moms,"PE-2018-03, PE-2018-02, PE-2018-01","Check-2018-05, Check-2018-03, Check-2018-01",public heath researcher,,1,Y
13,Resorts in Mexico suspected of drugging tourists,http://www.wfaa.com/news/health/resorts-in-mexico-suspected-of-drugging-tourists/458170922,"537,000",wfaa.com,health,,"PE-2018-03, PE-2018-02, PE-2018-01","Check-2018-05, Check-2018-03, Check-2018-01",public heath researcher,"Not the best written. Interesting anecdotes, but mostly just anecdotes.  Lacks ages for many of the people  ",4,Y
