Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Africa Eastern and Southern,AFE,7.8,7.84,7.85,7.84,7.83,7.84,7.86,7.81,7.79,7.72
Afghanistan,AFG,10.65,10.82,10.72,10.73,11.18,10.96,10.78,10.8,10.81,10.81
Africa Western and Central,AFW,4.42,4.53,4.55,4.54,4.53,4.57,4.6,4.66,4.86,4.92
Angola,AGO,4.21,4.21,4.23,4.16,4.11,4.1,4.09,4.07,4.05,4.03
Albania,ALB,10.31,30.01,25.26,20.84,14.61,13.93,16.88,20.05,20.84,19.03
Arab World,ARB,11.62,12.12,12.86,12.95,13.32,12.38,11.95,11.97,12.11,12.6
United Arab Emirates,ARE,1.87,1.84,1.85,1.81,1.8,1.9,1.98,2.14,2.22,2.25
Argentina,ARG,5.44,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15
Armenia,ARM,1.6,1.8,5.3,6.6,6.7,9.3,10.8,9.4,11.2,11.05
Australia,AUS,9.58,10.73,10.87,9.72,8.47,8.51,8.36,7.68,6.87,6.28
Austria,AUT,3.42,3.59,4.25,3.54,4.35,5.28,5.15,5.52,4.7,4.69
Azerbaijan,AZE,0.9,1.8,4.5,6.3,7.2,8.1,9.1,10,10.9,11.78
Burundi,BDI,1.51,1.53,1.56,1.56,1.58,1.59,1.57,1.56,1.58,1.59
Belgium,BEL,6.99,6.7,8.08,9.65,9.34,9.48,8.96,9.32,8.65,6.59
Benin,BEN,1.49,1.51,1.41,1.36,1.25,1.18,1.1,1.02,0.94,0.85
Burkina Faso,BFA,2.58,2.61,2.58,2.58,2.53,2.47,2.47,2.44,2.51,2.61
Bangladesh,BGD,2.2,2.33,2.36,2.38,2.48,2.51,2.69,2.9,3.06,3.27
Bulgaria,BGR,11.1,15.3,16.4,12.8,11.1,12.5,13.7,12.2,14.1,16.22
Bahrain,BHR,1.01,1.05,1.01,1.11,1.08,1.08,1.09,1.08,1.09,1.08
"Bahamas, The",BHS,12.17,14.81,12.72,13.83,10.83,11.46,9.76,7.65,7.45,7.2
Bosnia and Herzegovina,BIH,17.55,18.3,19.32,20.71,21.77,22.77,23.61,24.49,25.09,25.78
Belarus,BLR,0.6,3.1,8.5,12.8,17.7,24.4,17.1,14,12.8,12.26
Belize,BLZ,9.7,9.69,9.78,11.1,12.48,13.82,12.68,14.31,12.84,10.85
Bolivia,BOL,2.96,3.26,3.08,3.08,2.75,2.44,2.08,2.13,2.44,2.38
Brazil,BRA,6.31,6.42,6.03,6.17,6.42,7.25,8.16,9.42,10.21,9.56
Barbados,BRB,22.67,22.94,24.54,22.98,19.66,14.71,14.61,12.4,10.61,9.35
Brunei Darussalam,BRN,4.7,4.86,4.82,5.03,5.18,5.24,5.19,5.33,5.57,5.68
Bhutan,BTN,1.41,1.45,1.41,1.43,1.45,1.42,1.4,1.4,1.4,1.59
Botswana,BWA,13.82,16.3,18.76,21.2,21.37,21.59,21.17,20.86,18.29,15.88
Central African Republic,CAF,5.62,5.69,5.72,5.72,5.7,5.74,5.76,5.71,5.68,5.61
Canada,CAN,10.32,11.2,11.38,10.4,9.49,9.62,9.1,8.28,7.58,6.83
Central Europe and the Baltics,CEB,9.25,10.13,11.53,11.37,10.84,10.18,9.16,8.95,10.39,12.43
Switzerland,CHE,1.78,2.81,3.72,3.88,3.33,3.71,4.2,3.6,3.15,2.67
Channel Islands,CHI,5.96,6.4,7.38,7.57,7.3,7.23,7.01,6.57,6.24,5.66
Chile,CHL,5.23,4.35,4.49,5.87,4.7,7.41,7.14,7.31,11.16,10.49
China,CHN,2.37,2.37,2.69,2.9,3,3.12,3.23,3.24,3.25,3.26
Cote d'Ivoire,CIV,6.61,6.7,5.85,4.99,4.1,4.09,4.11,4.1,4.34,4.58
Cameroon,CMR,7.5,7.61,7.8,7.81,7.93,8.06,7.93,7.82,7.7,7.59
"Congo, Dem. Rep.",COD,2.93,2.94,2.94,2.92,2.9,2.9,2.91,2.9,2.9,2.9
"Congo, Rep.",COG,20.07,20.05,20.07,20.09,20,19.98,20.01,19.96,19.99,19.9
Colombia,COL,10.12,9.44,7.8,8.25,8.72,11.81,12.14,15,20.06,20.52
Comoros,COM,5.11,4.99,4.99,5,4.91,4.9,4.83,4.81,4.77,4.68
Cabo Verde,CPV,11.27,11.21,11.19,11.12,11.12,11.11,11.08,11.05,11.03,10.98
Costa Rica,CRI,5.37,3.93,3.95,4.05,5.18,6.16,5.68,5.33,5.9,5.08
Caribbean small states,CSS,16.05,16.45,16.62,15.78,15.36,15.01,14.85,14.14,13.93,13.38
Cuba,CUB,7.9,8.06,8.28,8.14,8.27,7.61,7.1,6.23,6.26,5.45
Cyprus,CYP,3,2.09,2.7,2.7,2.6,3.1,3.4,3.3,5.7,4.97
Czech Republic,CZE,2.27,2.6,4.32,4.3,4.02,3.89,4.27,5.9,8.49,8.76
Germany,DEU,5.32,6.32,7.68,8.73,8.16,8.82,9.86,9.79,8.86,7.92
Djibouti,DJI,29.36,29.2,29.19,29.02,28.94,28.84,28.7,28.58,28.43,28.34
Denmark,DNK,9.1,9.03,10.72,8.04,6.99,6.84,5.4,5.04,5.14,4.48
Dominican Republic,DOM,6.35,6.2,6.27,6.36,6.33,6.34,6.31,6.36,6.39,6.43
Algeria,DZA,20.6,24.38,26.23,27.74,31.84,28.53,25.43,26.66,28.3,29.77
East Asia & Pacific (excluding high income),EAP,2.4,2.36,2.61,2.91,2.99,3.1,3.2,3.37,3.45,3.41
Early-demographic dividend,EAR,5.36,5.49,5.64,5.95,6.27,6.16,5.98,6.1,6.3,6.24
